"Diet" "Time" "weight"
"1" "1" 0 41.4
"2" "1" 2 47.25
"3" "1" 4 56.4736842105263
"4" "1" 6 66.7894736842105
"5" "1" 8 79.6842105263158
"6" "1" 10 93.0526315789474
"7" "1" 12 108.526315789474
"8" "1" 14 123.388888888889
"9" "1" 16 144.647058823529
"10" "1" 18 158.941176470588
"11" "1" 20 170.411764705882
"12" "1" 21 177.75
"13" "2" 0 40.7
"14" "2" 2 49.4
"15" "2" 4 59.8
"16" "2" 6 75.4
"17" "2" 8 91.7
"18" "2" 10 108.5
"19" "2" 12 131.3
"20" "2" 14 141.9
"21" "2" 16 164.7
"22" "2" 18 187.7
"23" "2" 20 205.6
"24" "2" 21 214.7
"25" "3" 0 40.8
"26" "3" 2 50.4
"27" "3" 4 62.2
"28" "3" 6 77.9
"29" "3" 8 98.4
"30" "3" 10 117.1
"31" "3" 12 144.4
"32" "3" 14 164.5
"33" "3" 16 197.4
"34" "3" 18 233.1
"35" "3" 20 258.9
"36" "3" 21 270.3
"37" "4" 0 41
"38" "4" 2 51.8
"39" "4" 4 64.5
"40" "4" 6 83.9
"41" "4" 8 105.6
"42" "4" 10 126
"43" "4" 12 151.4
"44" "4" 14 161.8
"45" "4" 16 182
"46" "4" 18 202.9
"47" "4" 20 233.888888888889
"48" "4" 21 238.555555555556
