"organism" "group" "size" "GC" "habitat" "temp.group" "temperature"
"1" "Acaryochloris marina MBIC11017" "Cyanobacteria" 8.36 47 "Aquatic" "Mesophilic" NA
"2" "Acholeplasma laidlawii PG-8A" "Firmicutes" 1.5 31.9 "Specialized" "Mesophilic" 37
"3" "Acidiphilium cryptum JF-5" "Alphaproteobacteria" 3.97 67.1 "Multiple" "Mesophilic" 35
"4" "Acidithiobacillus ferrooxidans ATCC 53993" "Other Bacteria" 2.9 58.9 "Specialized" "Mesophilic" NA
"5" "Acidothermus cellulolyticus 11B" "Actinobacteria" 2.4 66.9 "Aquatic" "Thermophilic" 58
"6" "Acidovorax avenae subsp. citrulli AAC00-1" "Betaproteobacteria" 5.4 68.5 "Multiple" "Mesophilic" NA
"7" "Acidovorax sp. JS42" "Betaproteobacteria" 4.54 66.1 "Terrestrial" "Mesophilic" NA
"8" "Acinetobacter baumannii AB0057" "Gammaproteobacteria" 4.11 39.2 "Multiple" "Mesophilic" NA
"9" "Acinetobacter baumannii ACICU" "Gammaproteobacteria" 3.99 38.9 "Aquatic" "Mesophilic" 37
"10" "Acinetobacter baumannii ATCC 17978" "Gammaproteobacteria" 4.02 38.9 "Multiple" "Mesophilic" NA
"11" "Acinetobacter baumannii AYE" "Gammaproteobacteria" 3.99 39.3 "Aquatic" "Mesophilic" NA
"12" "Acinetobacter baumannii SDF" "Gammaproteobacteria" 3.45 39.1 "Aquatic" "Mesophilic" 37
"13" "Acinetobacter sp. ADP1" "Gammaproteobacteria" 3.6 40.4 "Multiple" "Mesophilic" 37
"14" "Actinobacillus pleuropneumoniae L20" "Gammaproteobacteria" 2.3 41.3 "Host-associated" "Mesophilic" NA
"15" "Actinobacillus pleuropneumoniae serovar 3 str. JL03" "Gammaproteobacteria" 2.2 41.2 "Host-associated" "Mesophilic" 37
"16" "Actinobacillus pleuropneumoniae serovar 7 str. AP76" "Gammaproteobacteria" 2.31 41.2 "Host-associated" "Mesophilic" NA
"17" "Actinobacillus succinogenes 130Z" "Gammaproteobacteria" 2.3 44.9 "Host-associated" "Mesophilic" 37
"18" "Aeromonas hydrophila subsp. hydrophila ATCC 7966" "Gammaproteobacteria" 4.7 61.5 "Multiple" "Mesophilic" 25
"19" "Aeromonas salmonicida subsp. salmonicida A449" "Gammaproteobacteria" 5.03 58.2 "Aquatic" "Mesophilic" NA
"20" "Aeropyrum pernix K1" "Crenarchaeota" 1.7 56.3 "Specialized" "Hyperthermophilic" 92.5
"21" "Agrobacterium tumefaciens str. C58" "Alphaproteobacteria" 5.65 59 "Multiple" "Mesophilic" 26.5
"22" "Akkermansia muciniphila ATCC BAA-835" "Other Bacteria" 2.7 55.8 "Host-associated" "Mesophilic" 37
